Chunk,Embedding (first 10 dims)
"9. Sistem gereksinimlerine paralel olarak kıstaslar “Fonksiyonel” ve 
“Fonksiyonel Olmayan” kıstaslar belirlenmiştir. B.S Sahay ile A.K. Gupta’nın “Tedarik 
Zinciri Çözümleri için Yazılım Paket Seçiminin Geliştirilmesi” makalesinde açıklanan 
“Yüzde Bazlı Ağaç Modeline” göre yapılan değerlendirmede IFS’ye karar verilmiştir. 
 
 
 
 
 
 
59
 
 
 
TEKLİFE ÇAĞRI LİSTESİ ( RFP List.) 
 
Referans 
No 
ERP İLE İLGİLİ 
TALEPLER  
Görüş 
Navision 
Çözümü bu 
ihtiyacı 
karşılıyor mu?","[-0.07649881  0.0545167  -0.08315688  0.01311882 -0.0117216   0.00843706
  0.0352574   0.13011627  0.03318764 -0.0289887 ]"
"Referans 
No 
ERP İLE İLGİLİ 
TALEPLER  
Görüş 
Navision 
Çözümü bu 
ihtiyacı 
karşılıyor mu? 
Navision Durumu 
IFS Çözümü bu 
ihtiyacı karşılıyor 
mu? 
IFS Durumu 
A 
GENEL İHİYAÇLAR 
  
  
  
  
  
A.1 
Çoklu İşletme Kapasitesi
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.2 
Çoklu Dil 
Olsa iyi olur 
Tamamen karşılar 
  
Tamamen karşılar 
  
A.3 
Döviz Kurları 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.4 
Çoklu Akış 
Olmazsa olmaz
Tamamen karşılar","[ 0.00645064  0.02915077  0.03985113 -0.00349553 -0.07029119 -0.03925537
  0.08803181 -0.00220286  0.05687805  0.00679823]"
"Tamamen karşılar 
  
Tamamen karşılar 
  
A.4 
Çoklu Akış 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.5 
Çoklu Konum 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.6 
Çoklu Depo Stok 
Kontrolü 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.7 
Fason İmalat 
Olmazsa olmaz
Kısmen Karşılar 
  
Tamamen karşılar 
  
A.8 
Sistem Kontrol: 
  
  
  
  
  
A.8.1 
    Güvenlik: 
  
  
  
  
  
A.8.1.1 
        Sistem Düzeyi  
Olmazsa olmaz
Tamamen karşılar","[-0.04145692  0.05648641  0.06475665 -0.00845011 -0.08147176 -0.03007982
  0.04384969  0.02323596  0.07224344 -0.04387697]"
"Güvenlik: 
  
  
  
  
  
A.8.1.1 
        Sistem Düzeyi  
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.8.1.2 
         Modül Düzeyi  
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.8.1.3 
         Ekran Seviyesi  
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.8.1.4 
         Kayıt Düzeyi 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.8.2 
    Online Yardım: 
  
  
  
  
  
A.8.2.1 
         Alan 
Olmazsa olmaz
Tamamen karşılar","[-0.03314549  0.080675    0.07081226 -0.02966612 -0.09873031 -0.03086997
  0.07967842  0.0173381   0.06243843 -0.00759301]"
"Online Yardım: 
  
  
  
  
  
A.8.2.1 
         Alan 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.8.2.2 
         Fonksiyon 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
A.9 
Uzaktan Teşhis Raporu 
Olsa iyi olur 
  
  
Tamamen karşılar 
  
B 
TEMEL VERİ 
MADDELERİ 
  
  
  
  
  
B.1 
Anahtar Maddelerin 
Genişliği 
Olmazsa olmaz
Tamamen karşılar 
Stok No, 20 Karakter / 
Nümerik - Karakter, 
Genişletilebilir  
Tamamen karşılar 
Alfa nümerik 25 
dijit 
B.2","[-0.0204465   0.07532752  0.04495965 -0.00535956 -0.0960784  -0.00355091
  0.04975186  0.02022006  0.04053518 -0.02176353]"
"Nümerik - Karakter, 
Genişletilebilir  
Tamamen karşılar 
Alfa nümerik 25 
dijit 
B.2 
Açıklamanın Genişliği 
Olmazsa olmaz
Tamamen karşılar 
Açıklama, 30 Karakter, 
Karakter, 
Genişletilebilir 
Tamamen karşılar 
  
B.2.1 
    Birincil     
Olmazsa olmaz
Tamamen karşılar 
Stok No 2, 20 Karakter
Tamamen karşılar 
Alfa nümerik 30 
dijit 
B.2.2 
    İkincil 
Olmazsa olmaz
  
  
Tamamen karşılar 
Alfa nümerik 30 
dijit 
B.3 
TRL Akışı için dijit sayı 
genişliği 
Olmazsa olmaz
Tamamen karşılar","[-0.05811892  0.03438179  0.01942481  0.00073644 -0.10201247 -0.00336447
  0.05817894  0.09026571  0.02773862 -0.04089229]"
"Alfa nümerik 30 
dijit 
B.3 
TRL Akışı için dijit sayı 
genişliği 
Olmazsa olmaz
Tamamen karşılar 
15 dijit veri girişi, 
toplamlarda ise 18 dijit 
mümkün  
Tamamen karşılar 
3 
B.4 
Ölçü Birimi : 
  
  
  
  
  
B.4.1 
   Depolama 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
B.4.2 
   Satın Alma 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
B.4.3 
   Satışlar 
Olmazsa olmaz
Tamamen karşılar 
  
Tamamen karşılar 
  
Çizelge.4. RFP listesi (Genel İhtiyaçlar Kıstasları)","[-0.04219848  0.00975052  0.04232631  0.00435336 -0.11057065 -0.01565693
  0.04014661  0.08790732  0.03181419 -0.03746511]"
"Tamamen karşılar 
  
Tamamen karşılar 
  
Çizelge.4. RFP listesi (Genel İhtiyaçlar Kıstasları) 
 
 
Görüş Seçenekleri 
ERP Çözümü Bu 
ihtiacı karşılıyor 
mu? Seçenekleri  
  
  
  
  
Olmazsa olmaz    3 
Tamamen karşılar 
4
Olsa İyi olur          2   
Kısmen karşılar 
3
Olmazsa da olur   1 
Bedava Ek Gelişirme 
ile yapılır 
2
  
Paralı Ek 
Danışmanlık ile yapılır
1
  
Desteklemez 
0
  
  
Cevap 
Verilemedi / 
Anlaşılmadı 
 
 
60
 
MALİ İŞLER TALEPLERİ","[ 0.00621134  0.0266065   0.02052663  0.01222632 -0.09332495 -0.02265977
  0.04591342  0.04361945 -0.01040735 -0.01170092]"
"0
  
  
Cevap 
Verilemedi / 
Anlaşılmadı 
 
 
60
 
MALİ İŞLER TALEPLERİ 
 
                     
Çizelge.5. RFP Listesi (Mali İşler Talepleri) 
 
Görüş Seçenekleri 
ERP Çözümü Bu ihtiacı 
karşılıyor mu? Seçenekleri 
  
Olmazsa olmaz    3 
Tamamen karşılar 
4
Olsa İyi olur          2   
Kısmen karşılar 
3
Olmazsa da olur   1 
Bedava Ek Gelişirme ile 
yapılır 
2
 
Paralı Ek Danışmanlık ile 
yapılır 
1
  
Desteklemez 
0
  
 
  
Cevap Verilemedi / Anlaşılmadı 
Ref. 
No 
ERP İLE İLGİLİ TALEPLER  
A","[ 0.02033131  0.05925796  0.0170547  -0.01591977 -0.07875517 -0.00681929
  0.01181617  0.03313889  0.04716587  0.04293299]"
"1
  
Desteklemez 
0
  
 
  
Cevap Verilemedi / Anlaşılmadı 
Ref. 
No 
ERP İLE İLGİLİ TALEPLER  
A 
PARA BİRİMLERİ (DÖVİZ) 
Görüş 
  
Ö
l
ç
ü
 
Aç
ıkl
a
m
a 
  
Navision 
Çözümü bu 
ihtiyacı 
karşılıyor mu?
  
Geliştirme 
Yapılacaksa 
Bunun 
Açıklaması 
  
Navision 
Durumu 
  
IFS Çözümü 
bu ihtiyacı 
karşılıyor mu?
  
IFS Durumu
  
A.1 
Yabancı para işlemleri yapılabilmeli
Olmazsa 
olmaz 
 
  
Bedava Ek 
Geliştirme ile 
yapılır 
  
Döviz altyapısı 
geliştirmeleri ile 
karşılanacak 
Tamamen","[ 0.00078279  0.01143985  0.01283355 -0.02494375 -0.0874185  -0.01239498
  0.06064838  0.07211968  0.02378017  0.0114835 ]"
"Bedava Ek 
Geliştirme ile 
yapılır 
  
Döviz altyapısı 
geliştirmeleri ile 
karşılanacak 
Tamamen 
Karşılar 
  
A.2 
Resmi 
Kur 
Farkı 
hesaplayabilmelidir 
Olmazsa 
olmaz 
 
  
Tamamen 
Karşılar 
  
  
Tamamen 
Karşılar 
  
A.3 
TL 
Faturaların 
tahsilâtlarında 
oluşan 
kur 
farklarını 
hesaplayabilmelidir 
Olsa iyi 
olur 
 
  
Paralı Ek 
Danışmanlık ile 
yapılır 
  
TL tutarını baz alan 
bir hesaplama 
yöntemi ile kur farkı 
geliştimesi yapılacak 
Tamamen 
Karşılar 
  
A.4","[ 0.05019679  0.02866888  0.04196947  0.03114217 -0.11683141  0.01272066
  0.03282223  0.05829823  0.05276357  0.00533732]"
"bir hesaplama 
yöntemi ile kur farkı 
geliştimesi yapılacak 
Tamamen 
Karşılar 
  
A.4 
Fişler üzerinde satır bazında ekstra 
kur tanımlanabilmelidir 
Olmazsa 
olmaz 
 
  
Tamamen 
Karşılar 
  
  
Tamamen 
Karşılar 
 
A.5 
Hesap Ekstreleri istenilen Para 
Birimine ( TL, Döviz, TL+ Döviz) 
ve istenilen tarih aralığına göre 
devirli 
ya 
da 
devirsiz 
raporlanabilmelidir 
Olmazsa 
olmaz 
 
  
Paralı Ek 
Danışmanlık ile 
yapılır 
  
Yeni rapr 
geliştirilecek 
Tamamen 
Karşılar 
  
B","[-0.00905537  0.05391914 -0.02716735 -0.01568562 -0.15404572 -0.01438254
  0.06187785  0.09895558  0.05796718  0.00376936]"
"Paralı Ek 
Danışmanlık ile 
yapılır 
  
Yeni rapr 
geliştirilecek 
Tamamen 
Karşılar 
  
B 
FATURA, MUHASEBE FİŞLERİ, 
RAPORLAMA, 
HESAP 
EKSTRELERİ, STOK 
  
 
  
  
  
  
  
  
B.1 
Muhasebe Fişleri 
  
 
  
  
  
  
  
  
B.1.1 
        Muhasebe 
Fişleri 
kopyalanabilmeli, daha sonra tarihi 
ve içeriği değiştirilebilmelidir 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar 
  
Yinelenen günlükler 
ile çözülebiliyor 
Tamamen 
Karşılar 
  
B.1.2 
        Sistemde tanımlanacak fişler 
tanımlanan","[-0.03720651 -0.00765028 -0.01118696  0.04500127 -0.06248231 -0.02607623
  0.06409904  0.0614744   0.00767208 -0.05725401]"
"ile çözülebiliyor 
Tamamen 
Karşılar 
  
B.1.2 
        Sistemde tanımlanacak fişler 
tanımlanan 
tarihlerde 
otomatik 
oluşmalıdır 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar 
  
  
Tamamen 
Karşılar 
  
B.1.3 
        Muhasebe 
Fişleri 
kopyalanabilmeli, daha sonra tarihi 
ve içeriği değiştirilebilmelidir 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar 
  
Yinelenen günlükler 
ile çözülebiliyor 
Tamamen 
Karşılar 
  
B.1.4 
        Faturaların Muhasebe fişleri 
oluşturulurken uyum aşamasında","[-0.02782581 -0.01792629  0.02362984  0.04477918 -0.04868642 -0.01324843
  0.07990534  0.05236957 -0.01558268 -0.04570927]"
"Tamamen 
Karşılar 
  
B.1.4 
        Faturaların Muhasebe fişleri 
oluşturulurken uyum aşamasında 
miktarsal bilgilerde kaydedilmelidir 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar 
  
Kayıt bul fonksiyonu 
ile ilgili müh. Fişinin 
faturası ve stok 
kayıtlarına 
ulaşılabiliyor, yeterli 
bulundu 
Tamamen 
Karşılar 
  
B.2 
Hesap Ekstreleri  
  
 
  
  
  
  
  
  
B.2.1 
       Hesap Ekstreleri üzerinden çift 
tık ile ilgili fişe ulaşılabilmelidir 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar","[-0.00658738  0.02543488  0.02334052  0.02719673 -0.06400375  0.00451503
  0.04059403  0.04071635  0.01412368 -0.02115631]"
"tık ile ilgili fişe ulaşılabilmelidir 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar 
  
  
Tamamen 
Karşılar 
  
B.2.2 
       Hesap 
Ekstreleri 
üzerinden 
sağ tuş ile ilgili satırın miktarsal 
bilgilerinde ulaşılabilmelidir 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar 
  
Kayıt bul fonksiyonu 
ile ilgili müh. Fişinin 
faturası ve stok 
kayıtlarına 
ulaşılabiliyor, yeterli 
bulundu 
Tamamen 
Karşılar 
  
B.3 
Faturalar 
  
 
  
  
  
  
  
  
B.3.1 
      Faturaların 
kesildiği 
Firma","[-0.01509166 -0.01672763 -0.01309573  0.02923564 -0.08315122 -0.01034719
  0.01370221  0.04018797  0.01959698 -0.04909366]"
"Karşılar 
  
B.3 
Faturalar 
  
 
  
  
  
  
  
  
B.3.1 
      Faturaların 
kesildiği 
Firma 
değiştirilebilmeli, Faturanın Firma 
bilgileri 
ile 
birlikte 
sipariş 
aşamasına kadar tüm işlemlerdeki 
firma bilgileri değişmeli 
Olsa iyi 
olur 
 
  
Tamamen 
Karşılar 
  
  
Tamamen 
Karşılar 
 
B.3.2 
   İşletmeler 
arası 
malzeme 
transferlerinde otomatik fatura 
oluşturulabilmektedir  
Olmazsa 
olmaz 
 
  
  
  
  
Tamamen 
Karşılar 
  
 
 
61","[ 0.00141298 -0.01961091 -0.0212849  -0.0145971  -0.06710213  0.00781479
  0.05892329  0.02258674  0.01302962 -0.08596827]"
"oluşturulabilmektedir  
Olmazsa 
olmaz 
 
  
  
  
  
Tamamen 
Karşılar 
  
 
 
61
 
4.4. PROGRAM SEÇİM MODELLERİNDEN TALEP EDİLEN TEMEL    
       ÖZELLİKLER 
 
Program, seçim işlemini direkt veya dolaylı yoldan etkileyecek tüm faktörleri 
karşılamalıdır. Doğru bir karar modelinin talepleri şu şekildedir: 
•  Model, kullanıcının en temel talebini yerine getirmeli ve program çözümünün 
fonksiyonelliğini aktarmalıdır.  
•  Model, her dereceye kadar önemli özelliklerinin dallarını ve görevlerini","[-0.02508389 -0.03241565  0.00369287  0.00589181 -0.03802287 -0.02364711
 -0.05942556  0.09552563  0.02369733 -0.02891047]"
"•  Model, her dereceye kadar önemli özelliklerinin dallarını ve görevlerini 
desteklemelidir.  
•  Program hakkındaki hemen hemen tüm gerçek olan veya olmayan bilgiyi 
kullanmalıdır.  
•  Model, tüm nicel ve nitel faktörleri birleştirebilen ve aynı zamanda onları 
daha basit bir modele dökebilen doğru bir metodoloji sağlamalıdır.  
•  Model daha iyi bir ticari özellik seti sağlayabilecek ve az önem derecesinden 
çok önemliye kadar tüm faktörlerin program sıralamasını ölçebilecek kadar esnek","[-0.05615126 -0.00402549 -0.03180778  0.01776919 -0.11811975 -0.03596514
 -0.03777416  0.12255346  0.0153367  -0.02879563]"
"çok önemliye kadar tüm faktörlerin program sıralamasını ölçebilecek kadar esnek 
olmalıdır. 
•  Model, tüm program uygulama/ sistem seçme türlerine uygulanabilir olmalı 
ve tüm aday program sistemleri arasında adil bir karşılaştırmayı garanti etmelidir. 
•  Modelin anlaşılması, kullanılması ve tüketilmesi kolay olmalıdır.  
4.4.1. Program Seçim Modelleri: Açık Bir İnceleme 
Bu bölümde; Doğrusal Önem Özellikli Model, Doğrusal Tayin Modeli,","[-0.06274383 -0.07687205 -0.02449618  0.015661   -0.07393402 -0.05963158
 -0.06499253  0.0674424   0.00998814 -0.0307772 ]"
"Bu bölümde; Doğrusal Önem Özellikli Model, Doğrusal Tayin Modeli, 
Maximax, ile Görünüşe Göre Eleme ve Analitik İşlem gibi program seçim modelleri 
karşılaştırılmıştır. Tüm bu modeller, performans oranlarının karşılaştırılmasını içerir. 
• Doğrusal önem özellikli modelde; çeşitli fonksiyonel ilişkiler öne 
sürülmüştür (Kliejnen, Pearson ve Bailey,1980). Bu model, önem seçiminde mal ve 
zayıf özellikler arasında daha iyi bir alışveriş sağlar. 
Qi = ∑ wi Aij","[-0.05487873 -0.02430329 -0.00674936  0.0574115  -0.07838915 -0.0516719
 -0.08110322  0.1008806   0.06298133 -0.05216115]"
"zayıf özellikler arasında daha iyi bir alışveriş sağlar. 
Qi = ∑ wi Aij  
“wi”; “i” paketinin “j” özelliğine tayin edilen önem ağırlığıdır. “Aij”; “i” paketinin “j” 
özelliğinin performans sıralamasıdır. “Qi”; paketin sırasına karar verecek sıralamasıdır. 
 
 
62
 
• Doğrusal tayin modeli; belirlenen paketin özellik için sıralamasını/tasnif 
edilmesini talep eden bir modeldir (Bernardo and Biln, 1977; Billing ve Schere, 1988).","[-0.07898694  0.01758477  0.02785731  0.03801037 -0.11040545  0.00646305
  0.04526608  0.09370596  0.05352443 -0.02058718]"
"edilmesini talep eden bir modeldir (Bernardo and Biln, 1977; Billing ve Schere, 1988). 
“i” paketinin “j” özelliğinin dizimler için bir matrix hazırlanır. Bu matrix, bir 
permütasyon matrixi ile toplanır. Sonra doğrusal programlama problemi formüle edilir 
ve maximizasyon için çözülür. 
• Maximax modelinin uygulaması kolaydır. Modelin, tüm faktörlere aynı 
muameleyi yapan, bu yüzden de az önemli ve çok önemli faktörler arasındaki ayrımın","[-0.00508801 -0.01211245 -0.04988351 -0.07064479 -0.1341422  -0.02666847
 -0.0379353   0.09331106  0.00102962  0.02656568]"
"muameleyi yapan, bu yüzden de az önemli ve çok önemli faktörler arasındaki ayrımın 
tayin edilemeyeceği bir engeli vardır. Bu metodun son karşılaştırma için tüm faktörlerin 
eşit önem taşıdığı yerlerde kullanılması daha uygun olmaktadır.  
• Görünüşe göre eleme bir metottan çok bir metodolojidir. Hiçbir 
matematiksel hesaplaması yoktur. Müşterinin tüm taleplerini ve standartlarını 
garantileyen program çözümünü seçmek gerekmektedir.","[-0.02399966  0.04062852 -0.0515694  -0.02905766 -0.07678825 -0.03163643
  0.05547805  0.07706352 -0.00467298 -0.04600547]"
"garantileyen program çözümünü seçmek gerekmektedir.  
Davis ve Williams (1994), simülasyon programını seçmek ve geliştirmek için 
analitik işlemi (AHP) seçmişlerdir. Onlar, insan yargılamasındaki tutarsızlıkları 
azaltmak için karar işlemini yapılandırmayı vurgulamışlardır. Saaty’nin faktörlerin 
önem yoğunluğunun terazisini ve matrix çarpımını kullanarak tüm paket diziminin 
hesaplamasını önermiştir. 
4.4.2. Eski Modellerin Hataları ve Yetersizlikleri","[-0.0442022  -0.00744387 -0.04588531 -0.03494062 -0.07641106 -0.04967108
 -0.0146207   0.07092895 -0.01259072 -0.00066958]"
"hesaplamasını önermiştir. 
4.4.2. Eski Modellerin Hataları ve Yetersizlikleri 
Birçok başarı kıstası, performans ve seçim faktörü vardır. Bu faktörler tepkilerin 
nicel özellikleri kadar nitel özelliklerini de içerir. AHP ve doğrusal önem özellikli 
model, nitel ve nicel tepkilerin birleşimine dayanmasa da yukarıda tartışılan tüm 
modeller, paket dizimini ortak bir sıralandırma terazisinde değerlendirmektedir. Gerçek","[-0.06921604  0.0041956  -0.04304855  0.02329558 -0.04715287 -0.06643967
 -0.02613419  0.17071326  0.07465077 -0.03353713]"
"modeller, paket dizimini ortak bir sıralandırma terazisinde değerlendirmektedir. Gerçek 
hayattaki kararlarda her şeyin aynı terazi üzerinde değerlendirilmesine gerek yoktur. Bir 
kimseye bir program paketini değerlendirme görevi verildiğini farz edin. İşletme 
tarafından 13 fonksiyon talep edilir ve kişi güvenlik, hız, kullanım kolaylığı, eğitim, 
dokümantasyon vs. arasında karşılaştırma yapmak zorunda kalır. Bir denge oluşturmak","[-0.0017223   0.03909993 -0.01804953 -0.05255519 -0.06848133 -0.01722745
 -0.0016037   0.10452048  0.03213044 -0.00170279]"
"dokümantasyon vs. arasında karşılaştırma yapmak zorunda kalır. Bir denge oluşturmak 
onun için zordur. Belli bir sürücü için sınıflandırma yapılacak hiyerarşik yapıda 
problem çıktığını ve karar vericinin dengesiz bir hiyerarşik yapıyla yüz yüze olduğunu 
düşünürsek, bu durumda karar modelinde terazinin çeşitli faktörlerle ilgili 
dengesizliğiyle ilgilenecek bir mekanizma geliştirmek gereklidir. Bu iki sorun da","[-0.0526892   0.04353188  0.0080964  -0.02533806 -0.05711392 -0.04745664
 -0.01523864  0.09994116  0.04033428 -0.03493654]"
"dengesizliğiyle ilgilenecek bir mekanizma geliştirmek gereklidir. Bu iki sorun da 
modeli hüküm problemlerinin dengesiz hiyerarşik doğasına daha uyum sağlayıcı daha iş 
bitirici yapmak için kullanılmalıdır. Bu yüzden yüzde bazlı ağaç modeli önerilir. 
 
 
63
 
4.4.3. Yüzde Bazlı Ağaç Modeli  
Her modelin gücü, uygulanabilirliği ve çeşitli ortamlara uyabilirliği ile ölçülür. 
Model program çözümü değer endeksini (SMI), farklı özelliklerden hiyerarşik","[-0.09261637 -0.01198364 -0.01424878 -0.00093153 -0.06459937 -0.04052508
 -0.02439815  0.09245112  0.00208438 -0.03787723]"
"Model program çözümü değer endeksini (SMI), farklı özelliklerden hiyerarşik 
sınıflandırmaya kadar tüm oran skorlarının toplamı olarak tanımlar. Program 
kullanımını veya organizasyon için değerini gösterir niteliktedir. Toplamda programın 
seçimini garanti etmeyi ifade eder. Herhangi bir özelliğin karışık bilgisini kullanmak 
için herhangi bir dereceye kadar olan farklı özelliklerin hiyerarşik sınıflandırmasını","[-0.03372404 -0.02093571 -0.03413296 -0.05825911 -0.03408862 -0.0160776
 -0.04477712  0.14184311 -0.04023725 -0.01776347]"
"için herhangi bir dereceye kadar olan farklı özelliklerin hiyerarşik sınıflandırmasını 
kolaylaştırır. Tüm nitel ve nicel özellikleri yüzde skoruna değiştirmekteki tekliği, 
dengesiz hiyerarşik sınıflandırmayı ve herhangi bir final seviyede özellikleri 
yargılamayı ilerletir. Bu özellik, nicel ve nitel özellikler arasındaki teraziyi gündeme 
getirir ve her ikisini de karşılar. Bu yüzden SMI program seçiminde adil bir 
karşılaştırma kıstası ortaya koyar.  
a) Değişkenler","[-0.04638448  0.05448251 -0.01589394  0.01840073 -0.03639005 -0.0470609
  0.05458348  0.10376764  0.00584131 -0.06332809]"
"karşılaştırma kıstası ortaya koyar.  
a) Değişkenler 
SMI = Yazılımın Sonuç Puanı 
fp = Birincil sürücünün yüzdelik değeri 
fs =  İkincil sürücünün yüzdelik değeri 
wp = Birinci sürücünün ağırlık oranı 
ws = İkincil sürücünün ağırlık oranı 
wi = i. sürücünün ağırlık oranı 
wij = i. sürücünün j. alt sürücüsüne ağırlık oranı 
wij = i. sürücünün j. alt sürücüsünün k. sürücüsü ağırlık oranı 
Sijk =Yazılım paketinin i. sürücünün j. alt sürücüsünden kazandığı puan","[-0.02008345  0.00150609 -0.03717793  0.00801508 -0.07151751 -0.05238739
  0.06703877  0.02239472  0.04091245 -0.02158227]"
"Sijk =Yazılım paketinin i. sürücünün j. alt sürücüsünden kazandığı puan 
SSijk= Yazılım paketinin i. sürücünün j. alt sürücüsünün k. alt sürücüsünden 
kazandığı puan 
b) Model 
Sunulan karar modeli verilen bir çözüm veya paket için SMI’yı hesaplar. SMI 
değeri çözümün sıralamasına karar verir. Bu model basamaklar halinde inşa edilir. SMI 
1. sürücü ve 2. sürücü puanlarının ağırlıklarıyla çarpımlarının yüzde bazlı toplamıdır.  
 
 
 
64
 
SMI=wp fp + ws fs ….. 
fp=∑ wi ( fp) i  
i= 1,2,3, …","[-0.04468963 -0.01207678 -0.03636583 -0.00753281 -0.03711487 -0.04337593
  0.00353901  0.08827875  0.05151812  0.0036535 ]"
"64
 
SMI=wp fp + ws fs ….. 
fp=∑ wi ( fp) i  
i= 1,2,3, … 
fpi=∑wij (fp)ij 
(fp)ij=∑wijk (Sijk * 100 / SSijk) ijk 
c) Yüzde Bazlı Önem Ağacı Modeli  
Bu bölümde program talep özellikleri dikkatle incelenecektir. Daha önce 
belirtildiği gibi, bu bölümde gösterilen talep faktörleri çok kapsamlıdır ve herhangi bir 
tür program paketinin seçimi için direkt uygulanabilir. Tüm sürücülerin veya 
özelliklerin tanımı, tüm işlemdeki ilk ve önemli faaliyettir. Bütün özellikler","[-0.01564047  0.05361181 -0.044703   -0.02467993 -0.01886607 -0.11403596
  0.03442127  0.09080485  0.03144704 -0.04336188]"
"özelliklerin tanımı, tüm işlemdeki ilk ve önemli faaliyettir. Bütün özellikler 
hesaplanmalı ve dikkatle seçilmelidir. Birçok araştırmacı ve uzman belli uygulamalar 
için program seçim faktörü belirlemek amacıyla girişimde bulunmuştur. Sadowsky 
(1998); özelliklere, uyuma, platforma, ücret ve teknolojiye dayanan program seçimi 
planlamasını ortaya koymuştur. Banks ve Gibson (1997); simülasyon program seçim 
parametrelerini, işlem giriş önemi, yöntem önemi, işlem çıkış önemi, ortam önemi,","[-4.0174715e-02  2.0264180e-02 -5.9914365e-02  4.7400605e-05
 -3.2887928e-02 -4.0057521e-02  6.7688689e-02  9.1510817e-02
  3.1165354e-02 -3.3404522e-02]"
"parametrelerini, işlem giriş önemi, yöntem önemi, işlem çıkış önemi, ortam önemi, 
satıcı önemi ve toplam tutar önemi olarak sınıflandırmıştır. Banks ve Gibson’un yapmış 
oldukları vurgulamalar, simülasyon program seçiminde her önem derecesinin karışık 
ayrıntıları üzerinedir. Burmark, Tharnbeg ve Carole (2000) birçok kullanıcı tabanlı 
seçim faktörünü vurgulamıştır. Bu uygulama organizasyondaki çeşitli fonksiyonların","[ 0.01428183 -0.02503568 -0.04476399  0.01141774 -0.09758057  0.00703689
  0.07481683  0.06393001  0.00838145 -0.01405572]"
"seçim faktörünü vurgulamıştır. Bu uygulama organizasyondaki çeşitli fonksiyonların 
birçoğunu içermekteydi. Bundan dolayı bölüm temsilcileri arasında, programdan direkt 
veya dolaylı olarak etkilenen ya da onun tarafından birleştirilen fikir alışverişi seçim 
özelliklerinin tanımlamasını amaçlamaktadır. 
Bu faktörler, geniş bir perspektifte iki büyük gruba ayrılabilir; birincil talepler ve 
ikincil talepler. Birincil faktörler veya taleplerin ölçümü kolaydır ve değerlendirme","[-0.00684616 -0.01874536 -0.04214709 -0.00969799 -0.10252035 -0.02365173
  0.05845375  0.11422686  0.04364467 -0.02593124]"
"ikincil talepler. Birincil faktörler veya taleplerin ölçümü kolaydır ve değerlendirme 
işleminde paketleri eleyebilir ya da ilerletebilirler. Bu yüksek seviye talepler 
belirlenmeden önce organizasyonun nesnelerini yeni bilgi sistemiyle bağlantılı hale 
getirmek ve zorlukları gerçekçi biçimde tanımlamak gerekir. Bu zorluklar; coğrafi, 
kültürler arası, hükümet düzenlemeleri, iş felsefeleri, piyasa vs. olabilir. Daha az önemli","[ 0.04955186  0.04050413 -0.029385   -0.0214772  -0.08127473 -0.0255959
  0.04819124  0.05055174  0.05215441 -0.029157  ]"
"kültürler arası, hükümet düzenlemeleri, iş felsefeleri, piyasa vs. olabilir. Daha az önemli 
olan ikincil faktörler; endüstrileri, satıcı gücü, satıcı vizyonu ve geniş kullanım 
kolaylığı, gibi diğer nitel özellikleri içermektedir. 
 
 
 
65
 
d) Asli Sürücüler  
Asli sürücüler program paketleriyle birlikte bir grup önemli talep ve kolaylık 
oluşturmaktadır. Bu asli sürücüler; program fonksiyonelliği, teknoloji, tutar, destek ve","[-0.04865166  0.02815756 -0.07027447 -0.02869779 -0.07104185 -0.06173161
 -0.02305747  0.0874097   0.05414201 -0.06820418]"
